File,Description,mean_W,ci_low_W,ci_high_W,mean_U,ci_low_U,ci_high_U,max_W,ci_low_max_W,ci_high_max_W,min_W,ci_low_min_W,ci_high_min_W,mean_utilization_Q1,ci_low_utilization_Q1,ci_high_utilization_Q1,mean_utilization_Q2,ci_low_utilization_Q2,ci_high_utilization_Q2
Config15,"Configuration with Strategy=0, N=3, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)",5237.954354333604,5188.703880807622,5287.204827859586,-5238.752628889503,-5288.003286231119,-5189.5019715478875,9999.430964972144,5188.703880807622,5287.204827859586,500.735714447181,5188.703880807622,5287.204827859586,3.216985684413704e-05,3.198309456998038e-05,3.23566191182937e-05,4.2110582389354456e-05,4.1830628135841685e-05,4.239053664286723e-05
Config16,"Configuration with Strategy=1, N=3, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)",5252.915813909535,5203.7834205415975,5302.048207277473,-5252.11674800262,-5301.249087039392,-5202.984408965847,9999.67133634394,5203.7834205415975,5302.048207277473,500.826384293427,5203.7834205415975,5302.048207277473,3.222895449271625e-05,3.204145827209561e-05,3.2416450713336894e-05,4.190939189472361e-05,4.163223542488132e-05,4.21865483645659e-05
Config17,"Configuration with Strategy=0, N=4, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)",5238.153617202925,5188.903061229849,5287.404173176,-5238.551715345462,-5287.802220575812,-5189.301210115113,9999.84797135041,5188.903061229849,5287.404173176,500.756997425159,5188.903061229849,5287.404173176,3.216985684413704e-05,3.198309202838852e-05,3.235662165988556e-05,4.210880916287688e-05,4.18288712186512e-05,4.238874710710256e-05
Config18,"Configuration with Strategy=1, N=4, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)",5252.714211402879,5203.583930562809,5301.84449224295,-5251.517282383624,-5300.647491683976,-5202.387073083271,9998.363027276067,5203.583930562809,5301.84449224295,500.826384293427,5203.583930562809,5301.84449224295,3.222791582068388e-05,3.2040425428135345e-05,3.241540621323241e-05,4.190939189472361e-05,4.1632235291720946e-05,4.2186548497726275e-05
Config19,"Configuration with Strategy=0, N=5, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)",5238.753472871032,5189.504871906805,5288.002073835258,-5237.150017407519,-5286.398232407804,-5187.901802407234,9999.84797135041,5189.504871906805,5288.002073835258,501.718606780028,5189.504871906805,5288.002073835258,3.216882197773918e-05,3.1982052115626416e-05,3.235559183985194e-05,4.210880916287688e-05,4.1828871233827486e-05,4.238874709192627e-05
Config20,"Configuration with Strategy=1, N=5, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)",5252.521476807807,5203.389091415212,5301.653862200402,-5252.505586244018,-5301.637824697444,-5203.373347790592,9999.389687505993,5203.389091415212,5301.653862200402,500.826384293427,5203.389091415212,5301.653862200402,3.222999323170142e-05,3.204249398001475e-05,3.241749248338809e-05,4.1909391894723604e-05,4.1632235264181214e-05,4.218654852526599e-05
Config23,"Configuration with Strategy=0, N=2, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)",5238.155720721384,5188.9030941914725,5287.408347251295,-5238.553440120601,-5287.806027330501,-5189.300852910702,9999.777759689914,5188.9030941914725,5287.408347251295,500.650905979898,5188.9030941914725,5287.408347251295,3.216882197773918e-05,3.198206020512328e-05,3.235558375035507e-05,4.21123557651815e-05,4.1832405944454574e-05,4.239230558590843e-05
Config24,"Configuration with Strategy=1, N=2, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)",5253.11430379831,5203.979917347507,5302.248690249114,-5252.717310429155,-5301.851686205866,-5203.582934652444,9999.67133634394,5203.979917347507,5302.248690249114,500.826384293427,5203.979917347507,5302.248690249114,3.222895449271625e-05,3.204146110155429e-05,3.2416447883878215e-05,4.191114836546522e-05,4.163397522027707e-05,4.218832151065336e-05
Config25,"Configuration with Strategy=0, N=3, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)",5237.954354333604,5188.703880807622,5287.204827859586,-5238.752628889503,-5288.003286231119,-5189.5019715478875,9999.430964972144,5188.703880807622,5287.204827859586,500.735714447181,5188.703880807622,5287.204827859586,3.216985684413704e-05,3.198309456998038e-05,3.23566191182937e-05,4.2110582389354456e-05,4.1830628135841685e-05,4.239053664286723e-05
Config26,"Configuration with Strategy=1, N=3, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)",5252.915813909535,5203.7834205415975,5302.048207277473,-5252.11674800262,-5301.249087039392,-5202.984408965847,9999.67133634394,5203.7834205415975,5302.048207277473,500.826384293427,5203.7834205415975,5302.048207277473,3.222895449271625e-05,3.204145827209561e-05,3.2416450713336894e-05,4.190939189472361e-05,4.163223542488132e-05,4.21865483645659e-05
Config27,"Configuration with Strategy=0, N=4, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)",5238.153617202925,5188.903061229849,5287.404173176,-5238.551715345462,-5287.802220575812,-5189.301210115113,9999.84797135041,5188.903061229849,5287.404173176,500.756997425159,5188.903061229849,5287.404173176,3.216985684413704e-05,3.198309202838852e-05,3.235662165988556e-05,4.210880916287688e-05,4.18288712186512e-05,4.238874710710256e-05
Config28,"Configuration with Strategy=1, N=4, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)",5252.714211402879,5203.583930562809,5301.84449224295,-5251.517282383624,-5300.647491683976,-5202.387073083271,9998.363027276067,5203.583930562809,5301.84449224295,500.826384293427,5203.583930562809,5301.84449224295,3.222791582068388e-05,3.2040425428135345e-05,3.241540621323241e-05,4.190939189472361e-05,4.1632235291720946e-05,4.2186548497726275e-05
Config29,"Configuration with Strategy=0, N=5, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)",5238.753472871032,5189.504871906805,5288.002073835258,-5237.150017407519,-5286.398232407804,-5187.901802407234,9999.84797135041,5189.504871906805,5288.002073835258,501.718606780028,5189.504871906805,5288.002073835258,3.216882197773918e-05,3.1982052115626416e-05,3.235559183985194e-05,4.210880916287688e-05,4.1828871233827486e-05,4.238874709192627e-05
Config30,"Configuration with Strategy=1, N=5, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)",5252.521476807807,5203.389091415212,5301.653862200402,-5252.505586244018,-5301.637824697444,-5203.373347790592,9999.389687505993,5203.389091415212,5301.653862200402,500.826384293427,5203.389091415212,5301.653862200402,3.222999323170142e-05,3.204249398001475e-05,3.241749248338809e-05,4.1909391894723604e-05,4.1632235264181214e-05,4.218654852526599e-05
Config33,"Configuration with Strategy=0, N=2, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)",5238.155720721384,5188.9030941914725,5287.408347251295,-5238.553440120601,-5287.806027330501,-5189.300852910702,9999.777759689914,5188.9030941914725,5287.408347251295,500.650905979898,5188.9030941914725,5287.408347251295,3.216882197773918e-05,3.198206020512328e-05,3.235558375035507e-05,4.21123557651815e-05,4.1832405944454574e-05,4.239230558590843e-05
Config34,"Configuration with Strategy=1, N=2, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)",5253.11430379831,5203.979917347507,5302.248690249114,-5252.717310429155,-5301.851686205866,-5203.582934652444,9999.67133634394,5203.979917347507,5302.248690249114,500.826384293427,5203.979917347507,5302.248690249114,3.222895449271625e-05,3.204146110155429e-05,3.2416447883878215e-05,4.191114836546522e-05,4.163397522027707e-05,4.218832151065336e-05
Config35,"Configuration with Strategy=0, N=3, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)",5237.954354333604,5188.703880807622,5287.204827859586,-5238.752628889503,-5288.003286231119,-5189.5019715478875,9999.430964972144,5188.703880807622,5287.204827859586,500.735714447181,5188.703880807622,5287.204827859586,3.216985684413704e-05,3.198309456998038e-05,3.23566191182937e-05,4.2110582389354456e-05,4.1830628135841685e-05,4.239053664286723e-05
Config36,"Configuration with Strategy=1, N=3, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)",5252.915813909535,5203.7834205415975,5302.048207277473,-5252.11674800262,-5301.249087039392,-5202.984408965847,9999.67133634394,5203.7834205415975,5302.048207277473,500.826384293427,5203.7834205415975,5302.048207277473,3.222895449271625e-05,3.204145827209561e-05,3.2416450713336894e-05,4.190939189472361e-05,4.163223542488132e-05,4.21865483645659e-05
Config37,"Configuration with Strategy=0, N=4, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)",5238.153617202925,5188.903061229849,5287.404173176,-5238.551715345462,-5287.802220575812,-5189.301210115113,9999.84797135041,5188.903061229849,5287.404173176,500.756997425159,5188.903061229849,5287.404173176,3.216985684413704e-05,3.198309202838852e-05,3.235662165988556e-05,4.210880916287688e-05,4.18288712186512e-05,4.238874710710256e-05
Config38,"Configuration with Strategy=1, N=4, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)",5252.714211402879,5203.583930562809,5301.84449224295,-5251.517282383624,-5300.647491683976,-5202.387073083271,9998.363027276067,5203.583930562809,5301.84449224295,500.826384293427,5203.583930562809,5301.84449224295,3.222791582068388e-05,3.2040425428135345e-05,3.241540621323241e-05,4.190939189472361e-05,4.1632235291720946e-05,4.2186548497726275e-05
Config39,"Configuration with Strategy=0, N=5, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)",5238.753472871032,5189.504871906805,5288.002073835258,-5237.150017407519,-5286.398232407804,-5187.901802407234,9999.84797135041,5189.504871906805,5288.002073835258,501.718606780028,5189.504871906805,5288.002073835258,3.216882197773918e-05,3.1982052115626416e-05,3.235559183985194e-05,4.210880916287688e-05,4.1828871233827486e-05,4.238874709192627e-05
Config40,"Configuration with Strategy=1, N=5, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)",5252.521476807807,5203.389091415212,5301.653862200402,-5252.505586244018,-5301.637824697444,-5203.373347790592,9999.389687505993,5203.389091415212,5301.653862200402,500.826384293427,5203.389091415212,5301.653862200402,3.222999323170142e-05,3.204249398001475e-05,3.241749248338809e-05,4.1909391894723604e-05,4.1632235264181214e-05,4.218654852526599e-05
Config43,"Configuration with Strategy=0, N=2, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)",5238.155720721384,5188.9030941914725,5287.408347251295,-5238.553440120601,-5287.806027330501,-5189.300852910702,9999.777759689914,5188.9030941914725,5287.408347251295,500.650905979898,5188.9030941914725,5287.408347251295,3.216882197773918e-05,3.198206020512328e-05,3.235558375035507e-05,4.21123557651815e-05,4.1832405944454574e-05,4.239230558590843e-05
Config44,"Configuration with Strategy=1, N=2, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)",5253.11430379831,5203.979917347507,5302.248690249114,-5252.717310429155,-5301.851686205866,-5203.582934652444,9999.67133634394,5203.979917347507,5302.248690249114,500.826384293427,5203.979917347507,5302.248690249114,3.222895449271625e-05,3.204146110155429e-05,3.2416447883878215e-05,4.191114836546522e-05,4.163397522027707e-05,4.218832151065336e-05
Config45,"Configuration with Strategy=0, N=3, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)",5237.954354333604,5188.703880807622,5287.204827859586,-5238.752628889503,-5288.003286231119,-5189.5019715478875,9999.430964972144,5188.703880807622,5287.204827859586,500.735714447181,5188.703880807622,5287.204827859586,3.216985684413704e-05,3.198309456998038e-05,3.23566191182937e-05,4.2110582389354456e-05,4.1830628135841685e-05,4.239053664286723e-05
Config46,"Configuration with Strategy=1, N=3, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)",5252.915813909535,5203.7834205415975,5302.048207277473,-5252.11674800262,-5301.249087039392,-5202.984408965847,9999.67133634394,5203.7834205415975,5302.048207277473,500.826384293427,5203.7834205415975,5302.048207277473,3.222895449271625e-05,3.204145827209561e-05,3.2416450713336894e-05,4.190939189472361e-05,4.163223542488132e-05,4.21865483645659e-05
Config47,"Configuration with Strategy=0, N=4, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)",5238.153617202925,5188.903061229849,5287.404173176,-5238.551715345462,-5287.802220575812,-5189.301210115113,9999.84797135041,5188.903061229849,5287.404173176,500.756997425159,5188.903061229849,5287.404173176,3.216985684413704e-05,3.198309202838852e-05,3.235662165988556e-05,4.210880916287688e-05,4.18288712186512e-05,4.238874710710256e-05
Config48,"Configuration with Strategy=1, N=4, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)",5252.714211402879,5203.583930562809,5301.84449224295,-5251.517282383624,-5300.647491683976,-5202.387073083271,9998.363027276067,5203.583930562809,5301.84449224295,500.826384293427,5203.583930562809,5301.84449224295,3.222791582068388e-05,3.2040425428135345e-05,3.241540621323241e-05,4.190939189472361e-05,4.1632235291720946e-05,4.2186548497726275e-05
Config49,"Configuration with Strategy=0, N=5, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)",5238.753472871032,5189.504871906805,5288.002073835258,-5237.150017407519,-5286.398232407804,-5187.901802407234,9999.84797135041,5189.504871906805,5288.002073835258,501.718606780028,5189.504871906805,5288.002073835258,3.216882197773918e-05,3.1982052115626416e-05,3.235559183985194e-05,4.210880916287688e-05,4.1828871233827486e-05,4.238874709192627e-05
Config50,"Configuration with Strategy=1, N=5, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)",5252.521476807807,5203.389091415212,5301.653862200402,-5252.505586244018,-5301.637824697444,-5203.373347790592,9999.389687505993,5203.389091415212,5301.653862200402,500.826384293427,5203.389091415212,5301.653862200402,3.222999323170142e-05,3.204249398001475e-05,3.241749248338809e-05,4.1909391894723604e-05,4.1632235264181214e-05,4.218654852526599e-05
Config53,"Configuration with Strategy=0, N=2, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)",5238.155720721384,5188.9030941914725,5287.408347251295,-5238.553440120601,-5287.806027330501,-5189.300852910702,9999.777759689914,5188.9030941914725,5287.408347251295,500.650905979898,5188.9030941914725,5287.408347251295,3.216882197773918e-05,3.198206020512328e-05,3.235558375035507e-05,4.21123557651815e-05,4.1832405944454574e-05,4.239230558590843e-05
Config54,"Configuration with Strategy=1, N=2, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)",5253.11430379831,5203.979917347507,5302.248690249114,-5252.717310429155,-5301.851686205866,-5203.582934652444,9999.67133634394,5203.979917347507,5302.248690249114,500.826384293427,5203.979917347507,5302.248690249114,3.222895449271625e-05,3.204146110155429e-05,3.2416447883878215e-05,4.191114836546522e-05,4.163397522027707e-05,4.218832151065336e-05
Config55,"Configuration with Strategy=0, N=3, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)",5237.954354333604,5188.703880807622,5287.204827859586,-5238.752628889503,-5288.003286231119,-5189.5019715478875,9999.430964972144,5188.703880807622,5287.204827859586,500.735714447181,5188.703880807622,5287.204827859586,3.216985684413704e-05,3.198309456998038e-05,3.23566191182937e-05,4.2110582389354456e-05,4.1830628135841685e-05,4.239053664286723e-05
Config56,"Configuration with Strategy=1, N=3, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)",5252.915813909535,5203.7834205415975,5302.048207277473,-5252.11674800262,-5301.249087039392,-5202.984408965847,9999.67133634394,5203.7834205415975,5302.048207277473,500.826384293427,5203.7834205415975,5302.048207277473,3.222895449271625e-05,3.204145827209561e-05,3.2416450713336894e-05,4.190939189472361e-05,4.163223542488132e-05,4.21865483645659e-05
Config57,"Configuration with Strategy=0, N=4, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)",5238.153617202925,5188.903061229849,5287.404173176,-5238.551715345462,-5287.802220575812,-5189.301210115113,9999.84797135041,5188.903061229849,5287.404173176,500.756997425159,5188.903061229849,5287.404173176,3.216985684413704e-05,3.198309202838852e-05,3.235662165988556e-05,4.210880916287688e-05,4.18288712186512e-05,4.238874710710256e-05
Config58,"Configuration with Strategy=1, N=4, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)",5252.714211402879,5203.583930562809,5301.84449224295,-5251.517282383624,-5300.647491683976,-5202.387073083271,9998.363027276067,5203.583930562809,5301.84449224295,500.826384293427,5203.583930562809,5301.84449224295,3.222791582068388e-05,3.2040425428135345e-05,3.241540621323241e-05,4.190939189472361e-05,4.1632235291720946e-05,4.2186548497726275e-05
Config59,"Configuration with Strategy=0, N=5, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)",5238.753472871032,5189.504871906805,5288.002073835258,-5237.150017407519,-5286.398232407804,-5187.901802407234,9999.84797135041,5189.504871906805,5288.002073835258,501.718606780028,5189.504871906805,5288.002073835258,3.216882197773918e-05,3.1982052115626416e-05,3.235559183985194e-05,4.210880916287688e-05,4.1828871233827486e-05,4.238874709192627e-05
Config60,"Configuration with Strategy=1, N=5, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)",5252.521476807807,5203.389091415212,5301.653862200402,-5252.505586244018,-5301.637824697444,-5203.373347790592,9999.389687505993,5203.389091415212,5301.653862200402,500.826384293427,5203.389091415212,5301.653862200402,3.222999323170142e-05,3.204249398001475e-05,3.241749248338809e-05,4.1909391894723604e-05,4.1632235264181214e-05,4.218654852526599e-05
Config63,"Configuration with Strategy=0, N=2, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)",5238.155720721384,5188.9030941914725,5287.408347251295,-5238.553440120601,-5287.806027330501,-5189.300852910702,9999.777759689914,5188.9030941914725,5287.408347251295,500.650905979898,5188.9030941914725,5287.408347251295,3.216882197773918e-05,3.198206020512328e-05,3.235558375035507e-05,4.21123557651815e-05,4.1832405944454574e-05,4.239230558590843e-05
Config64,"Configuration with Strategy=1, N=2, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)",5253.11430379831,5203.979917347507,5302.248690249114,-5252.717310429155,-5301.851686205866,-5203.582934652444,9999.67133634394,5203.979917347507,5302.248690249114,500.826384293427,5203.979917347507,5302.248690249114,3.222895449271625e-05,3.204146110155429e-05,3.2416447883878215e-05,4.191114836546522e-05,4.163397522027707e-05,4.218832151065336e-05
Config65,"Configuration with Strategy=0, N=3, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)",5237.954354333604,5188.703880807622,5287.204827859586,-5238.752628889503,-5288.003286231119,-5189.5019715478875,9999.430964972144,5188.703880807622,5287.204827859586,500.735714447181,5188.703880807622,5287.204827859586,3.216985684413704e-05,3.198309456998038e-05,3.23566191182937e-05,4.2110582389354456e-05,4.1830628135841685e-05,4.239053664286723e-05
Config66,"Configuration with Strategy=1, N=3, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)",5252.915813909535,5203.7834205415975,5302.048207277473,-5252.11674800262,-5301.249087039392,-5202.984408965847,9999.67133634394,5203.7834205415975,5302.048207277473,500.826384293427,5203.7834205415975,5302.048207277473,3.222895449271625e-05,3.204145827209561e-05,3.2416450713336894e-05,4.190939189472361e-05,4.163223542488132e-05,4.21865483645659e-05
Config67,"Configuration with Strategy=0, N=4, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)",5238.153617202925,5188.903061229849,5287.404173176,-5238.551715345462,-5287.802220575812,-5189.301210115113,9999.84797135041,5188.903061229849,5287.404173176,500.756997425159,5188.903061229849,5287.404173176,3.216985684413704e-05,3.198309202838852e-05,3.235662165988556e-05,4.210880916287688e-05,4.18288712186512e-05,4.238874710710256e-05
Config68,"Configuration with Strategy=1, N=4, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)",5252.714211402879,5203.583930562809,5301.84449224295,-5251.517282383624,-5300.647491683976,-5202.387073083271,9998.363027276067,5203.583930562809,5301.84449224295,500.826384293427,5203.583930562809,5301.84449224295,3.222791582068388e-05,3.2040425428135345e-05,3.241540621323241e-05,4.190939189472361e-05,4.1632235291720946e-05,4.2186548497726275e-05
Config69,"Configuration with Strategy=0, N=5, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)",5238.753472871032,5189.504871906805,5288.002073835258,-5237.150017407519,-5286.398232407804,-5187.901802407234,9999.84797135041,5189.504871906805,5288.002073835258,501.718606780028,5189.504871906805,5288.002073835258,3.216882197773918e-05,3.1982052115626416e-05,3.235559183985194e-05,4.210880916287688e-05,4.1828871233827486e-05,4.238874709192627e-05
Config70,"Configuration with Strategy=1, N=5, lambda=2.0s, m1=0.4s, m2=0.4s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)",5252.521476807807,5203.389091415212,5301.653862200402,-5252.505586244018,-5301.637824697444,-5203.373347790592,9999.389687505993,5203.389091415212,5301.653862200402,500.826384293427,5203.389091415212,5301.653862200402,3.222999323170142e-05,3.204249398001475e-05,3.241749248338809e-05,4.1909391894723604e-05,4.1632235264181214e-05,4.218654852526599e-05
